date;Leverage;No leverage;datealt;CRIX
08/10/2018;0.951244;0.763908;;
08/10/2018;0.951244;0.76469;;
08/10/2018;0.951244;0.764802;;
08/10/2018;0.951244;0.765496;;
08/10/2018;0.951244;0.767018;;
08/10/2018;0.951244;0.767766;;
08/10/2018;0.951244;0.76699;;
08/10/2018;0.951244;0.765446;;
08/10/2018;0.951244;0.764406;;
08/10/2018;0.951244;0.764577;;
08/10/2018;0.951244;0.764619;;
08/10/2018;0.951244;0.765027;;
08/10/2018;0.951244;0.765428;;
08/10/2018;0.951244;0.767002;;
08/10/2018;0.951244;0.766829;;
08/10/2018;0.951244;0.766961;;
08/10/2018;0.951244;0.766672;;
08/10/2018;0.951244;0.76696;;
08/10/2018;0.951244;0.767099;;
08/10/2018;0.951245;0.768631;;
08/10/2018;0.951243;0.767699;;
08/10/2018;0.951243;0.767787;;
08/10/2018;0.951243;0.768399;;
08/10/2018;0.951243;0.767233;;
08/10/2018;0.951244;0.767422;;
08/10/2018;0.951243;0.767954;;
08/10/2018;0.951242;0.767174;;
08/10/2018;0.951242;0.767434;;
08/10/2018;0.951242;0.767291;;
08/10/2018;0.951242;0.766237;;
08/10/2018;0.951242;0.765339;;
08/10/2018;0.951242;0.764314;;
08/10/2018;0.951242;0.765304;;
08/10/2018;0.951242;0.764463;;
08/10/2018;0.951242;0.764484;;
08/10/2018;0.951242;0.762936;;
08/10/2018;0.951243;0.764309;;
08/10/2018;0.951242;0.764153;;
08/10/2018;0.951242;0.765022;;
08/10/2018;0.951242;0.764355;;
08/10/2018;0.95124;0.763666;;
08/10/2018;0.951241;0.764916;;
08/10/2018;0.95124;0.76766;;
08/10/2018;0.95124;0.768081;;
08/10/2018;0.951239;0.767794;;
08/10/2018;0.951239;0.768064;;
08/10/2018;0.951239;0.768185;;
08/10/2018;0.951239;0.768289;;
09/10/2018;0.951239;0.768585;;
09/10/2018;0.951239;0.767163;;
09/10/2018;0.951239;0.767195;;
09/10/2018;0.951239;0.766801;;
09/10/2018;0.951239;0.766816;;
09/10/2018;0.951239;0.7668;;
09/10/2018;0.951239;0.766805;;
09/10/2018;0.951239;0.76673;;
09/10/2018;0.951239;0.767491;;
09/10/2018;0.951239;0.766031;;
09/10/2018;0.951241;0.767349;;
09/10/2018;0.95124;0.766759;;
09/10/2018;0.95124;0.765894;;
09/10/2018;0.95124;0.767329;;
09/10/2018;0.95124;0.766524;;
09/10/2018;0.95124;0.767249;;
09/10/2018;0.95124;0.767482;;
09/10/2018;0.95124;0.767657;;
09/10/2018;0.95124;0.766376;;
09/10/2018;0.95124;0.767297;;
09/10/2018;0.95124;0.765787;;
09/10/2018;0.951239;0.764493;;
09/10/2018;0.951239;0.76473;;
09/10/2018;0.95124;0.765258;;
09/10/2018;0.951238;0.764686;;
09/10/2018;0.951238;0.764969;;
09/10/2018;0.951238;0.765057;;
09/10/2018;0.951238;0.765342;;
09/10/2018;0.951238;0.764412;;
09/10/2018;0.951238;0.764415;;
09/10/2018;0.951236;0.763836;;
09/10/2018;0.951235;0.763325;;
09/10/2018;0.951235;0.762774;;
09/10/2018;0.951235;0.763774;;
09/10/2018;0.951235;0.762291;;
09/10/2018;0.951234;0.760866;;
09/10/2018;0.951227;0.760631;;
09/10/2018;0.951227;0.76125;;
09/10/2018;0.951227;0.760539;;
09/10/2018;0.951228;0.760703;;
09/10/2018;0.951224;0.761047;;
09/10/2018;0.951224;0.760546;;
09/10/2018;0.951224;0.759315;;
09/10/2018;0.951224;0.758089;;
09/10/2018;0.951224;0.756836;;
09/10/2018;0.951223;0.757167;;
09/10/2018;0.951223;0.757446;;
09/10/2018;0.951223;0.756894;;
10/10/2018;0.951223;0.75681;;
10/10/2018;0.951223;0.757691;;
10/10/2018;0.951223;0.756496;;
10/10/2018;0.951223;0.756558;;
10/10/2018;0.951223;0.756797;;
10/10/2018;0.951223;0.757157;;
10/10/2018;0.951223;0.757043;;
10/10/2018;0.951223;0.756702;;
10/10/2018;0.951223;0.756299;;
10/10/2018;0.951223;0.756276;;
10/10/2018;0.951223;0.755052;;
10/10/2018;0.951223;0.755558;;
10/10/2018;0.951223;0.754777;;
10/10/2018;0.951223;0.754746;;
10/10/2018;0.951223;0.754826;;
10/10/2018;0.951223;0.75518;;
10/10/2018;0.951223;0.755406;;
10/10/2018;0.951223;0.755409;;
10/10/2018;0.951223;0.754587;;
10/10/2018;0.951223;0.754831;;
10/10/2018;0.951223;0.754748;;
10/10/2018;0.951223;0.754006;;
10/10/2018;0.951223;0.754379;;
10/10/2018;0.951223;0.754438;;
10/10/2018;0.951223;0.753325;;
10/10/2018;0.951223;0.754003;;
10/10/2018;0.951223;0.753322;;
10/10/2018;0.951223;0.752173;;
10/10/2018;0.951223;0.753575;;
10/10/2018;0.951223;0.753456;;
10/10/2018;0.951223;0.753276;;
10/10/2018;0.951223;0.753129;;
10/10/2018;0.951223;0.753141;;
10/10/2018;0.951223;0.752658;;
10/10/2018;0.951223;0.75292;;
10/10/2018;0.951223;0.751486;;
10/10/2018;0.951223;0.75235;;
10/10/2018;0.951223;0.752655;;
10/10/2018;0.951223;0.752137;;
10/10/2018;0.951223;0.752675;;
10/10/2018;0.951223;0.752222;;
10/10/2018;0.951222;0.751488;;
10/10/2018;0.951221;0.752425;;
10/10/2018;0.951221;0.751911;;
10/10/2018;0.951221;0.751994;;
10/10/2018;0.951221;0.751538;;
10/10/2018;0.95122;0.751498;;
10/10/2018;0.95122;0.750654;;
11/10/2018;0.95122;0.749448;;
11/10/2018;0.95122;0.749128;;
11/10/2018;0.95122;0.748576;;
11/10/2018;0.95122;0.749187;;
11/10/2018;0.95122;0.748902;;
11/10/2018;0.95122;0.749825;;
11/10/2018;0.95122;0.749158;;
11/10/2018;0.95122;0.749124;;
11/10/2018;0.95122;0.748147;;
11/10/2018;0.95122;0.748245;;
11/10/2018;0.95122;0.747809;;
11/10/2018;0.95122;0.74777;;
11/10/2018;0.95122;0.747669;;
11/10/2018;0.95122;0.747684;;
11/10/2018;0.95122;0.746189;;
11/10/2018;0.95122;0.745541;;
11/10/2018;0.95122;0.746081;;
11/10/2018;0.95122;0.746711;;
11/10/2018;0.95122;0.747435;;
11/10/2018;0.95122;0.740027;;
11/10/2018;0.95122;0.723019;;
11/10/2018;0.95122;0.730801;;
11/10/2018;0.95122;0.725033;;
11/10/2018;0.95122;0.720843;;
11/10/2018;0.95122;0.724909;;
11/10/2018;0.95122;0.722398;;
11/10/2018;0.95122;0.723036;;
11/10/2018;0.95122;0.722688;;
11/10/2018;0.95122;0.719619;;
11/10/2018;0.95122;0.717319;;
11/10/2018;0.95122;0.706605;;
11/10/2018;0.95122;0.709188;;
11/10/2018;0.95122;0.709133;;
11/10/2018;0.95122;0.71303;;
11/10/2018;0.95122;0.716177;;
11/10/2018;0.95122;0.714085;;
11/10/2018;0.95122;0.712164;;
11/10/2018;0.95122;0.712088;;
11/10/2018;0.95122;0.711877;;
11/10/2018;0.95122;0.712593;;
11/10/2018;0.95122;0.711173;;
11/10/2018;0.95122;0.707909;;
11/10/2018;0.95122;0.71034;;
11/10/2018;0.95122;0.70777;;
11/10/2018;0.95122;0.705336;;
11/10/2018;0.95122;0.708753;;
11/10/2018;0.95122;0.712223;;
11/10/2018;0.95122;0.711552;;
12/10/2018;0.95122;0.710244;;
12/10/2018;0.95122;0.710659;;
12/10/2018;0.95122;0.711847;;
12/10/2018;0.95122;0.711906;;
12/10/2018;0.951219;0.710277;;
12/10/2018;0.951219;0.711088;;
12/10/2018;0.951219;0.712219;;
12/10/2018;0.951219;0.710652;;
12/10/2018;0.951219;0.710303;;
12/10/2018;0.951219;0.710306;;
12/10/2018;0.951219;0.70897;;
12/10/2018;0.951219;0.709145;;
12/10/2018;0.951219;0.70746;;
12/10/2018;0.951219;0.706161;;
12/10/2018;0.951219;0.705629;;
12/10/2018;0.951219;0.70146;;
12/10/2018;0.951219;0.693342;;
12/10/2018;0.951219;0.686063;;
12/10/2018;0.951219;0.690329;;
12/10/2018;0.951219;0.690734;;
12/10/2018;0.95122;0.691976;;
12/10/2018;0.951219;0.691892;;
12/10/2018;0.951219;0.695541;;
12/10/2018;0.951224;0.696315;;
12/10/2018;0.951222;0.69397;;
12/10/2018;0.951222;0.697126;;
12/10/2018;0.951222;0.6983;;
12/10/2018;0.951222;0.702225;;
12/10/2018;0.951222;0.701035;;
12/10/2018;0.951222;0.701094;;
12/10/2018;0.951222;0.710295;;
12/10/2018;0.951222;0.712067;;
12/10/2018;0.951222;0.711975;;
12/10/2018;0.951222;0.711253;;
12/10/2018;0.951222;0.709302;;
12/10/2018;0.951222;0.709478;;
12/10/2018;0.951222;0.707676;;
12/10/2018;0.951222;0.70781;;
12/10/2018;0.951222;0.708349;;
12/10/2018;0.951222;0.708084;;
12/10/2018;0.951222;0.70724;;
12/10/2018;0.951222;0.70686;;
12/10/2018;0.951222;0.706974;;
12/10/2018;0.951222;0.707804;;
12/10/2018;0.951222;0.708165;;
12/10/2018;0.951222;0.708582;;
12/10/2018;0.951222;0.707853;;
12/10/2018;0.951222;0.708832;;
13/10/2018;0.951222;0.710287;;
